,bfs_id,name,lat,lon
110,770,Stocken-Höfen,2609558.9290931397,1173215.1490697959
111,383,Büren an der Aare,2594847.3136520116,1221200.0770703305
112,902,Langnau im Emmental,2628240.284738873,1200606.929676395
113,341,Schwarzhäusern,2624846.6136903446,1233919.7702089506
114,494,Gals,2571210.430273432,1209367.3759400065
115,987,Rumisberg,2614831.2362306225,1235664.55979717
116,928,Heimberg,2612591.7795674787,1182456.1431402927
117,501,Tschugg,2572550.8954342664,1208139.8321408778
118,578,Gündlischwand,2637905.295515875,1166911.8885332423
119,665,Gurbrü,2582875.830049446,1201597.77058569
120,662,Ferenbalm,2583712.8705630763,1199143.0310682084
121,360,Wohlen bei Bern,2592773.284882748,1203518.565297065
122,886,Wattenwil,2604132.686991888,1178684.9216412257
123,544,Moosseedorf,2603555.9442523797,1206599.0861168406
124,687,Corcelles (BE),2602580.6188422744,1237795.7604958771
125,331,Lotzwil,2626786.7011243193,1226644.7079270622
126,564,Kandergrund,2618276.440102158,1153902.7285369304
127,863,Burgistein,2604933.682792519,1182323.1356817205
128,737,Hermrigen,2584973.1566544487,1214512.5054010595
129,692,Eschert,2597648.6135225752,1234954.601463041
130,883,Seftigen,2607676.037663558,1182138.9770267643
131,946,Wachseldorn,2622779.385327403,1185482.0601401138
132,389,Meienried,2592645.258720758,1220701.4499485095
133,617,Niederhünigen,2615850.9563366114,1191131.0319104246
134,726,Plateau de Diesse,2576627.922687792,1218356.21611592
135,879,Riggisberg,2601943.473266946,1181926.0061760356
136,976,Graben,2621349.3756001773,1229744.5859136404
137,335,Oeschenbach,2623309.7353620483,1217678.8393205854
138,934,Oberhofen am Thunersee,2618267.026223571,1175867.0294100065
139,405,Ersigen,2612901.1892339364,1217048.2240098005
140,535,Deisswil bei Münchenbuchsee,2601117.2655038205,1209572.600077719
141,953,Eriswil,2631826.428742001,1213502.3338934868
142,921,Amsoldingen,2611248.4702251283,1174917.230109488
143,989,Thörigen,2622128.4778377186,1224677.8921098912
144,357,Oberbalm,2597755.3740057456,1190481.831716029
145,980,Inkwil,2617265.121868832,1228082.9178794923
146,609,Häutligen,2612670.6378055625,1189691.4400287496
147,696,Loveresse,2585046.204788732,1232226.428205195
148,352,Bolligen,2605706.8862632886,1203562.7506088621
149,620,Oberthal,2618240.3234175122,1196393.4892608454
150,332,Madiswil,2627376.6286449274,1223010.3541937754
151,958,Trachselwald,2626064.0672275834,1206544.600429743
152,434,Courtelary,2572256.9505844535,1225118.9056813766
153,794,Zweisimmen,2595490.240444633,1155335.4174235866
154,443,Saint-Imier,2565933.3362083253,1222398.1821946378
155,372,Evilard,2583487.695756761,1221642.877551902
156,338,Rohrbach,2628232.6950876713,1220169.5187829353
157,563,Frutigen,2613622.734314267,1156338.714537908
158,593,Unterseen,2630796.0234953766,1171633.35122797
