GGDENAME,Energieträger_Label,Anzahl
Buchholterberg,Fernwärme,4
Buchholterberg,Geothermie,7
Buchholterberg,Heizöl,156
Buchholterberg,Holz,212
Buchholterberg,Keine,23
Buchholterberg,Luft,37
Buchholterberg,Sonne,5
Buchholterberg,Weitere,30
Burgdorf,Elektrizität,48
Burgdorf,Fernwärme,58
Burgdorf,Gas,1410
Burgdorf,Geothermie,26
Burgdorf,Heizöl,1036
Burgdorf,Holz,195
Burgdorf,Keine,305
Burgdorf,Luft,214
Burgdorf,Sonne,23
Burgdorf,Wasser,16
Burgdorf,Weitere,215
Burgistein,Elektrizität,53
Burgistein,Fernwärme,14
Burgistein,Gas,3
Burgistein,Geothermie,2
Burgistein,Heizöl,187
Burgistein,Holz,112
Burgistein,Keine,2
Burgistein,Luft,27
Burgistein,Weitere,25
Busswil bei Melchnau,Elektrizität,5
Busswil bei Melchnau,Heizöl,21
Busswil bei Melchnau,Holz,36
Busswil bei Melchnau,Keine,1
Busswil bei Melchnau,Luft,3
Busswil bei Melchnau,Weitere,13
Bäriswil,Elektrizität,16
Bäriswil,Fernwärme,24
Bäriswil,Geothermie,11
Bäriswil,Heizöl,179
Bäriswil,Holz,28
Bäriswil,Keine,5
Bäriswil,Luft,42
Bäriswil,Weitere,62
Bätterkinden,Elektrizität,108
Bätterkinden,Fernwärme,1
Bätterkinden,Gas,168
Bätterkinden,Geothermie,9
Bätterkinden,Heizöl,338
Bätterkinden,Holz,72
Bätterkinden,Keine,15
Bätterkinden,Luft,58
Bätterkinden,Sonne,1
Bätterkinden,Weitere,183
Bönigen,Elektrizität,55
Bönigen,Fernwärme,14
Bönigen,Gas,114
Bönigen,Geothermie,3
Bönigen,Heizöl,365
Bönigen,Holz,70
Bönigen,Keine,19
Bönigen,Luft,71
Bönigen,Sonne,2
Bönigen,Wasser,2
Bönigen,Weitere,112
Büetigen,Elektrizität,5
Büetigen,Fernwärme,71
Büetigen,Gas,2
Büetigen,Geothermie,1
Büetigen,Heizöl,122
Büetigen,Holz,21
Büetigen,Keine,12
Büetigen,Luft,28
Büetigen,Sonne,1
Büetigen,Weitere,42
Bühl,Elektrizität,14
Bühl,Geothermie,1
Bühl,Heizöl,83
Bühl,Holz,20
Bühl,Keine,8
Bühl,Luft,8
Bühl,Wasser,1
Bühl,Weitere,37
Büren an der Aare,Elektrizität,65
Büren an der Aare,Fernwärme,18
Büren an der Aare,Gas,110
Büren an der Aare,Geothermie,6
Büren an der Aare,Heizöl,501
Büren an der Aare,Holz,59
Büren an der Aare,Keine,19
Büren an der Aare,Luft,36
Büren an der Aare,Sonne,2
Büren an der Aare,Wasser,1
Büren an der Aare,Weitere,128
Champoz,Elektrizität,1
Champoz,Heizöl,30
Champoz,Holz,35
Champoz,Keine,6
Champoz,Luft,1
Champoz,Weitere,9
Corcelles (BE),Elektrizität,4
Corcelles (BE),Heizöl,45
Corcelles (BE),Holz,22
Corcelles (BE),Keine,3
Corcelles (BE),Luft,2
Corcelles (BE),Weitere,11
Corgémont,Elektrizität,29
Corgémont,Fernwärme,74
Corgémont,Gas,1
Corgémont,Geothermie,1
Corgémont,Heizöl,247
Corgémont,Holz,68
Corgémont,Keine,9
Corgémont,Luft,38
Corgémont,Weitere,68
Cormoret,Elektrizität,9
Cormoret,Heizöl,122
Cormoret,Holz,33
Cormoret,Keine,5
Cormoret,Luft,5
Cormoret,Sonne,1
Cormoret,Weitere,7
Cortébert,Elektrizität,12
Cortébert,Fernwärme,2
Cortébert,Heizöl,141
Cortébert,Holz,49
Cortébert,Keine,5
Cortébert,Luft,18
Cortébert,Sonne,1
Cortébert,Wasser,1
Cortébert,Weitere,14
Court,Elektrizität,18
Court,Gas,1
Court,Heizöl,343
Court,Holz,64
Court,Keine,48
Court,Luft,18
Court,Sonne,2
Court,Weitere,44
Courtelary,Elektrizität,18
Courtelary,Fernwärme,24
Courtelary,Gas,4
Courtelary,Geothermie,1
Courtelary,Heizöl,253
Courtelary,Holz,70
Courtelary,Keine,14
Courtelary,Luft,14
